,names,text
429,,"This story, retold by economist Daron Acemoglu and political scientist James Robinson in their book ""Why Nations Fail"", underscores the importance of legal, political institutions, such as the rule of law in shaping economic outcomes. In particular, the authors argue that when institutions are inclusive, when decision-making is shared by many and the system is subject to robust checks and balances, human flourishing is allowed the room it needs to succeed, thereby bringing progress and prosperity for nations that subscribe to such quality institutions."
430,,"Singapore has historically distinguished Itself by being an island, literally and figuratively, of institutional stability in a sea of tumultuous institutional change. As a Crown Colony, we inherited a sophisticated legal system and chose to adhere to this conception of the rule of law following Independence. This choice has generally served us well, both from the perspective of natural justice and because the rule of law has been an important cornerstone that has underpinned our business and commercial activities."
431,,"We must guard against taking this inheritance for granted. Globally, the rule of law is in retreat. According to the World Justice Project, which my colleague Ms Sylvia Lim, cited earlier on, adherence to the rule of law has fallen for the third consecutive year since 2017. The World Bank's Governance Indicators also document an erosion in the rule of law since 1996 for developed and developing countries alike. Countries in Central Europe have experienced particularly marked declines in their adherence to the rule of law. Closer to our neighbourhood, a number of nations in ASEAN have also experienced reductions."
432,,"Although as Minister Shanmugam has argued, Singapore remains highly ranked, we sadly have not been exempt from this trend. We have seen a decline in indicators of the rule of law over time. The World Justice Project's assessments of the quality of civil and criminal justice fell to the lowest it has ever been since scores were first compiled in 2012. Our judicial independence as adjudged by the World Economic Forum continues to slide from its peak in 2008."
433,,"Mr Speaker, although documenting the roll-back in such called quantitative indicators of the rule of law may seem like an abstract exercise, they are in fact the lived reality for many. Indeed, the different measures of the rule of law are often constructed from the reported perceptions of the public and society at large, of the quality of their day-to-day interactions of citizens with the legal system, their sense of whether contracts are enforced, whether property rights are respected and whether the police and judges are trustworthy. This is why careful reviews such as what this Motion is calling for, are so important because they can restore the confidence of the public in the inherent fairness of the legal process. The objective is to ensure that there is a consistency between the intent of the existing laws on the books, what is sometimes referred to as the jury system, and the perceptions of how the law is practised, the de facto system."
434,,"If the gap in perceptions becomes too large, the rule of law risks becoming disconnected and hence, discounted by the public to the detriment of more than just justice per se. This is precisely why so many Members in this House have discussed the importance that the rule of law not just be done but be perceived to be done."
435,,"Now, when the rule of law is compromised, economic performance suffers. There is abundant empirical evidence that asserts this relationship. Deteriorations in the rule of law affect in particular domestic as well as foreign investment activity, as well as productivity and growth. Put simply, when people are insecure about the rule of law, they invest less, they produce less; and even when they work and invest, they are less productive."
436,,"Mr Speaker, most of us are keenly aware of the enormous success of South Korea over the past half century. We drive Kia and Hyundai cars. We watch movies on LG and Samsung TVs and smart phones, and many of us, including my dear mother and sister, go crazy over Kpop and Korean TV dramas."
437,,"What many of us may be less familiar with is that at the time of partition, it was North Korea that was the more prosperous half, the more industrialised part of the peninsula. Yet today, the city of Seoul itself produces more than 10 times the economic product of the entire economy of North Korea. There are, of course, many reasons for the ultimate difference in economic outcomes of the two regions, but one major factor was that the North chose to pursue an institutional path that failed to respect the importance of the rule of law while the South continued to do so."
438,,"So, when we flag concerns of fairness, excess and independence in Singapore's justice system, we are not merely talking about the alleged judicial missteps of the Parti Liyani case or about other cases of potential lapses in the fairness of the justice system, which my colleagues have mentioned. It is also about the divergent fortunes of the Nogales and Koreas of the world. And when we underscore the importance of the rule of law, we are not only trafficking in the realm of our shared notions of justice, but our common economic future as well. With that parting thought, I assert my support for the Motion."
439,Mr Louis Ng Kok Kwang (Nee Soon),"Mr Louis Ng Kok Kwang (Nee Soon): Sir, I recognise that fairness, access and independence are indeed cornerstones of Singapore's justice system. With that in mind, I have some proposals that I believe will help strengthen our criminal justice system. Many of what I will share has been discussed previously, but I hope to share further points in detail on some of these proposals."
440,,My first point is about the Appropriate Adult Scheme that I raised in my Parliamentary Question that Minister addressed earlier. But can I appeal to the Government to re-consider and include foreign domestic workers for a start under this scheme and not all work permit holders? The scheme allows an independent and trained adult to accompany vulnerable groups who have to give statements to the Police. It is meant to ensure that the vulnerable person is not misunderstood during the interview. 
441,,"It makes sense to also include FDWs into the scheme. After all, when we recently raised penalties for crimes against vulnerable people, we did specifically include FDWs as a class of vulnerable people. I completely understand the tremendous workload of our Police officers. So, may I suggest that MHA work with the NGOs for this and it might help ease the workload a little. I would be glad to help facilitate this process.  "
442,,"My second point is about video recording, and Minister has addressed this point significantly. All I am asking is whether MHA could share the timeline for the full implementation of this video recording. Hopefully, this can take place sooner rather than later. "
443,,"My third point is about language interpretation. Can we ensure that all suspects are provided an interpreter in their own language and not just in a language that they understand, which the Minister has mentioned earlier? The key words here are ""in their own language"", which is used in the Criminal Procedure Code (CPC) in some sections. "
444,,"We need to enhance the CPC. The Code is vague. It states that people who do not understand English should be provided interpretation in a language they understand. It provides no clarity on what is the standard of ""understanding"" and who gets to determine it. "
445,,"Sir, it is clear that we need to tighten the Code to ensure there is no misunderstanding during the course of Police interviews. I propose that we set high but reasonable standards for language interpretation during Police interviews."
446,,"First, all Police interviews start with the Investigation Officer (IO) informing suspects that they can request for an interpreter. Second, the suspect should be provided an interpreter in their own language. They should get to declare what this language is and this should be officially recorded. Third, the interpreter should have professional certification or relevant experience to ensure their services rendered are of suitable quality. Fourth, new rules should be introduced to mandate that interpreters follow certain protocols. For one, they should stick strictly to interpretation and avoid providing any legal advice or personal inputs. Programmes could be set up to accredit interpreters who receive training in this regard. Fifth, Police interviews should not start unless the interpreter is in the room. Sixth, the interpreter should arrive with minimal delay. Otherwise, a suspect may accept the absence of an interpreter to avoid being detained for an unduly long period of time. Seventh, the interpreter should not only translate the final statement, but also interpret what the Police officers and the suspect say.  "
447,,Some of these points were addressed by Minister Shanmugam earlier and I am glad he has stated that some changes will be made. But I hope that all the points I have raised above will also be considered. 
448,,"Sir, I recognise that there may be operational and cost considerations to having interpreters quickly and universally available. But we cannot have a situation where Police questions can be misunderstood, and we cannot allow suspects the opportunity to later claim that they had misunderstood questions. In the grand scheme of things, the cost of interpretation is a small price to pay for the procurement of justice. "
449,,"Sir, in conclusion, I propose three things. One, the introduction of the Appropriate Adult Scheme for foreign domestic workers. Two, the mandatory video recording of all Police interviews. Three, the mandatory provision of language interpretation during Police interviews, with high standards set to ensure professional quality, prompt availability and no misunderstanding. "
450,,"Time and again, we have seen cases turn on the uncertainty of what happens in the interview room. When this occurs, it does a disservice to suspects, Police officers, prosecutors, judges and all Singaporeans. My proposals will help alleviate these problems."
451,Mr Speaker,Mr Speaker: Minister Edwin Tong. 
452,The Second Minister for Law (Mr Edwin Tong Chun Fai),"The Second Minister for Law (Mr Edwin Tong Chun Fai): Thank you, Mr Speaker. Sir, Mr Leon Perera brought up the ombudsman and cited many decades of history on this. But I would say in response to Mr Perera to look at the request in the context not only of the countries that he has cited – and I will come back to that in a moment – but also, particularly, in the context of Singapore – our system, our institutions and our people. "
453,,"The intention behind the ombudsman is to enhance the rule of law, improve our criminal justice system and I think you have heard earlier Members from this side of the House brook no dissent with that. We all agree that that is a fundamental objective. We want to enhance our rule of law. We want to improve our systems. But I would suggest, Mr Speaker, that the proof of the pudding is really in the eating, in looking not only at the countries that have set up the ombudsman, but to look at where they stand after years, if not decades, of having the ombudsman and the impact it has had on their legal system."
454,,"So, in that respect, we have heard the World Justice Report cited several times. I would like to take Members back to that. Singapore, in 2020, was ranked 12th, an improvement from the previous year. In contrast, the three countries that Mr Perera cited as having had Ombudsman – Indonesia, Malaysia and the Philippines – were ranked 59th, 47th and 91st respectively. If you were to take the most recent Gallup Law and Order survey, out of a hundred points, Singapore scored 97. Indonesia, the Philippines and Malaysia were at least 10 points behind Singapore. "
455,,"And if you look more closely at the most recent Crime Index 2020, Malaysia, the Philippines and Indonesia are all behind Singapore. So, I would suggest that instead of just citing these experiences from other countries, to put it in the context of where this system operates and the people that operate the system as well, and ask ourselves, what is that reality? How does the Ombudsman translate into a better legal system, better rule of law and, fundamentally, a safer Singapore? Where would you choose to bring up children? Where would you want to have our women and children be safe late at night – in Singapore or some other countries? And I think that is the proof of the pudding. Proof of the pudding is in the eating and that is what I meant when I said that. Ultimately, you look at those indicators. "
456,,"And in Singapore, we have our public institutions with its governance. We have internal reviews and, to the extent that some Members have said internal reviews are not sufficient because they are all conducted by internal people, then, on occasion, where necessary, there is the external review as well. I am sure Mr Perera is aware of the fact that there are many such panels."
457,,"In MHA, there is the independent Review Panel set up to review cases externally, independently. The SAF has set up external Review Panels as well. Likewise the SCDF. And to the extent that issues of public interest are raised, there is this forum in Parliament, and I am sure Members will agree that as we sit here past 10 pm this evening, that we spare no effort debating, discussing, going down into every detail that matters."
458,,"There is the current case. Members will remember that we have had the SingHealth breach raised in Parliament as well by way of Ministerial Statements, by way of Parliamentary Questions; the MRT breakdown, the MINDEF incidents, even what happens to doctors when they are apparently wrongly prosecuted."
459,,"And on occasion, even that may not be enough. And after the recent SCDF incidents were ventilated in Parliament, a separate Board of Inquiry, or BOI, was set up to look into the matter, separate from the Police investigation, came up with a report which subsequently MHA accepted. No cover-up on any of these occasions. On top of all of these, we have the COI. We have had a lot of debate about the COI, whether it is ""committee"" or ""commission"". But that provides an additional layer with public hearings. We have the Courts ultimately. And I thought I heard Mr Perera said that it is very difficult to bring an action in Court, either by way of judicial review or otherwise."
460,,"I had a quick look at the numbers and, in the last two years, there were 46 civil actions filed against the Government. I am not suggesting that these numbers are high or low. But I think where it needs to happen, this is an avenue. This is an avenue that our citizens can avail themselves of: bring their claims and the Courts – not the Executive, not an internal body – will evaluate these claims."
461,,"And, ultimately, when you have an ombudsman, the question really is: can they serve a better function than each of these specialist panels set up specifically for an inquiry, where necessary, with the relevant powers of investigation and with the relevant expertise for each of these cases?"
462,,"Mr Perera said CPIB only investigates corruption, but not rude behaviour. Well, we have the QSM for that. We have the Members of Parliament who listen to residents every week, week in, week out. I am sure many of you would have come across occasions where you were told so and so was rude to me, so and so did not listen to me. There are proper avenues for this to be brought up. So, I would say to Mr Perera and to other Members suggesting the ombudsman, to look at this suggestion in the context of not only what we have in our society already running, functioning, but also what the end result has shown."
463,,"Sir, some questions have also been raised concerning the length of time that it has taken for the trial to proceed and why it has taken four years for Ms Liyani's case to be resolved. Let me take this House through some key events. The Police report was lodged on 30 October 2016 and Members will remember that Ms Liyani returned to Singapore in December 2016. She was then arrested and, for a period of time, the Police conducted their investigations."
464,,"On 5 June 2017, the Police sent the file to AGC for their investigations and recommendations. AGC asked the Police to clarify certain points, which the Police then looked into. Eventually, on 10 August 2017, the AGC directed the Police to prefer charges against Ms Liyani. She was released. She was charged in Court on 31 August 2017 and released on bail. Ms Liyani claimed trial to the charges and, at the second pre-trial conference in October 2017, AGC asked for trial dates in February 2018 – four months later. However, counsel said that he could not take dates in February or March 2018. As a consequence, the trial was fixed for hearing in April 2018. That was to accommodate her counsel's availability."
465,,"The trial commenced in April 2018. Due to the issues, it could not be concluded within the allocated period, and it took place over several tranches and eventually concluded on 17 January 2019 – 20 hearing days. And we are not suggesting for a moment, I think, that we should truncate the trial simply because we want to have speed as opposed to thoroughness."
466,,"There was a total of 16 witnesses – 12 prosecution witnesses, four defence witnesses – and the record of proceedings came up to 3,699 pages. The verdict by the State Courts was delivered on 20 March 2019 and Ms Liyani was sentenced a few days later on 25 March. She then appealed against the sentence and conviction. Detailed submissions were put forward to the High Court by both parties, and this was heard over three days – in November 2019, February 2020 and August 2020 and, eventually, the High Court acquitted Ms Liyani on 4 September 2020. Thank you, Mr Speaker."
467,Mr Speaker,"Mr Speaker: We will probably sit here past 11 pm as well. Ms Gan Siow Huang. Oh, Mr Leon Perera."
468,Mr Leon Perera,Mr Leon Perera: I thank the hon Minister for his points. Just a few clarifications.
469,,"Firstly, I cited a number of countries that have an ombudsman – not only Philippines, Indonesia and Malaysia, but also Hong Kong, Australia, various European countries. I am wondering if the Minister is making the argument that having an ombudsman actually lowers the quality of justice, and is there any evidence to that effect? Is the Minister also saying that all countries that have an ombudsman, generally, because of some causative effect of having an ombudsman, actually fare more poorly in terms of justice indicators and so on and so forth? Is he making that argument? I do not think he is, but I do want to clarify that."
470,,"Secondly, I think he talked about Malaysia, Philippines and Indonesia; and he selected just those countries of all the ones I mentioned. Would the Minister acknowledge the possibility that those countries, without an ombudsman system, may actually fare even lower in the rankings than where they currently are at?"
471,,"Thirdly, I believe that the Minister would argue that we have fundamentally strong criminal justice institutions and so on, but I would like to invite the Minister to agree with me that even though things are good, there is a possibility that they can be better. There is always room for improvement. Would he agree that ideas like the ombudsman may help us to get to that goal?"
472,,"Lastly, just very briefly, to respond to the Minister's point on QSM and Meet-the-People sessions, I did address that in my speech. QSM is not an independent process that is outside of the authorities, Statutory Board or Ministry that is the subject of the complaint. Meet-the-People sessions do not include an independent fact-finding process. I just want to make that observation."
473,Mr Edwin Tong Chun Fai,"Mr Edwin Tong Chun Fai: I thank Mr Perera. I am not generalising and I know that you have gone into a series of other countries. I think if you did the research – which I am sure you did – you would have seen numerous articles about the ombudsman system in Australia, in the UK and the failings that they have had. Just look at the NHS ombudsman in the UK and the police ombudsman in the UK. Two examples."
474,,"Second, I am not in a position to speculate as to what might happen to those countries were there no ombudsman. But I think the point I am making is two-fold: first, look at the outcome in these countries – I am suggesting that they do not fare better than Singapore and I am sure the Member will agree; and second, perhaps more importantly, that we have our own systems, we have our own context. And we have our system that works in the way in which I have outlined. I am not sure if I did justice to it when I outlined it very quickly, in the interest of time. "
475,,I am sure the Member will agree that you have to apply suggestions in the context of what you already have in your own systems and look at whether that is going to improve the system or whether that would create yet another layer.
476,,"On his third point about the QSM, I made the point in response to the fact that you do not need an ombudsman to deal with someone who is rude to an individual. That is where you have the QSM, you have your Members of Parliament, you have other avenues like REACH to deal with."
477,,"On his final point, I think we all agree that if we can better the system – obviously – and I think on that, we are on the same page."
478,Mr Speaker,"Mr Speaker: My apologies, the long sitting is affecting my eyesight. Where is Desmond Tan?"
479,The Minister of State for Home Affairs and Sustainability and the Environment (Mr Desmond Tan),"The Minister of State for Home Affairs and Sustainability and the Environment (Mr Desmond Tan): Mr Speaker, in Mandarin, please."
480,,"(In Mandarin): [Please refer to Vernacular Speech.] Mr Speaker, fellow Members of Parliament: I have heard many speeches and questions from fellow Members. While there are differences in opinion, what is clear is that all Members are concerned about this issue and for our country. In fact, the debate in Parliament today fully reflects the three pillars of our transparent, fair, and structured system of governance. Let me sum them up with “one, two, and three”. One, it represents a kind of insistence, an insistence on accountability. Two, it represents our two core values: justice, and equality. Three, it represents the separation of the three branches of power in Government, that is, the independence of the Legislature, the Executive and the Judiciary. "
481,,"One, two and three: one insistence, two core values, and three independent branches of Government. These three key points form the cornerstones of our system of governance, and are implemented across our management and decision-making, across every Public Service Department and every public servant, and in every decision everyone here, makes every day. "
482,,"Without accountability, we will become a society where people accuse one another and problems remain unresolved; without justice and equality, we will become a corrupt and backward country; without separation of powers, the consequences will be most frightening, and the power vacuum will plunge our country into chaos and crisis. This is certainly not an outcome we want. "
483,,"To ensure Singapore's continued growth and prosperity, we must hold steadfast to these three pillars of governance. "
484,,"First, we must uphold the accountability system. Ms Liyani's case has sparked questions from the public on whether individual law enforcement officers have complied with the standard operating procedures, whether there are flaws in the investigation procedures of the Attorney-General's Chambers, and the qualifications of the trial judge. We must address these concerns. In the Ministerial Statement by Minister K Shanmugam earlier, he addressed these concerns by setting out the facts and the corresponding remedial actions."
485,,"Every job has a certain scope of duty, rules and regulations that must be observed, and tasks that must be done. If mistakes are made at work, it is clear that the jobholder must bear responsibility and face the consequences. This is the system of accountability that we have always upheld, and this is especially important in the Public Service. "
486,,"This is because the Public Service uses public resources, and thus has to be accountable to the state, to the people, about the areas where resources were used, why they were used, and to produce results. The Public Service has always been open and transparent. If a civil servant’s performance is unsatisfactory, he/she is held accountable. If punishment is necessary, it is not shirked, and it is not perfunctory. The public can see that the assessment system is robust. If results are not produced, there are areas of negligence, or laws have been infringed, the jobholder will be promptly removed from the service. "
487,,"A holistic, clear, and rational system of accountability encourages us to identify problems, find solutions, and seek progress. This is a continuous process. The accountability system should not lead to inaction in the public service, nor should it become a tool for political criticism. As we identify problems and explore solutions, we must also guard against over-correcting or putting the cart before the horse. If a law or judicial process is taken advantage of by criminals to exonerate themselves, or causes people to stop reporting crimes and lose confidence in the justice system, it will go against the objectives and spirit of the original legislation. "
488,,"Second, our two core values of justice and equality. Justice and equality are the core values on which Singapore depends for her survival. They are reflected in our policies in various areas, such as free education for 10 years, ensuring that every Singaporean child has the opportunity to upgrade themselves through education, and thereafter to continue training and maintain job competitiveness through government subsidies. Public housing policies ensure that every resident can afford to own their home, rather than allowing the market to freely determine housing prices. In healthcare, the Government also gives higher subsidies to the low-income and disadvantaged groups, and ensures that every Singaporean has access to quality medical care through Medisave and other schemes."
489,,"The values of justice and equality have been ingrained in our thinking and systems, as well as our lives. During the debate on the President’s Address in Parliament in 2018, Prime Minister Mr Lee Hsien Loong said that Singapore would not condone ostentatious displays of wealth or discrimination against others, and must always remain vigilant and must not allow elite groups from becoming closed circles. The Singapore government's stand on this issue is clear: we seek a fair and just democratic society and will never tolerate the formation of closed circles of elites. Any actual injustice can be corrected. This includes providing pro-bono legal advice and representation to those who have limited means through the Criminal Legal Aid Scheme (CLAS). Ms Liyani is one such beneficiary under this Scheme. "
490,,"In 2013, the Ministry of Law announced funding for the Criminal Legal Aid Scheme and in 2015, it co-funded the Enhanced Criminal Legal Aid Scheme with the Singapore Law Society. From 2015 to 2019, the government allocated an average of $2 million per year to fund the scheme. "
491,,"The scheme also encourages practising lawyers to come forward to provide their services. Over the past 4 years, they have taken up close to 1,000 cases, ensuring that no Singaporean will be denied the help they need because they cannot afford to pay for a lawyer. This is a commitment by the Government and community organisations to Singaporeans. "
492,,"Protecting Singaporeans' lives and property is an enduring commitment. This year, the police force celebrates 200 years of maintaining law and order in Singapore. Our law enforcement agencies have pledged allegiance to the country and to protect people's lives and property for up to 200 years. We are proud that Singapore ranked second in the world's safest cities, just behind Tokyo. This achievement, this sense of security, did not come by easily. Besides the prosperity and development of the country, our people live and work in peace and harmony, and the Singapore Armed Forces and the Home Team – as well as other law enforcement agencies - do their utmost in their duties. We must all work together and do our utmost to uphold the reputation of a safe city in the world. "
493,,"Third, the separation of powers. The separation of powers is the cornerstone of our democratic system and ensures the independence of the Legislature, the Executive and the Judiciary branches of Government. Hence, even for someone who has power in the Executive or Legislative branches of Government, he may still be tried independently before the law by the Judiciary branch of Government, and may still be subject to independent investigations by the Corrupt Practices Investigation Bureau. Minister K Shanmugam also explained in his Ministerial Statement just now that our system of governance and the justice system abide by the rule of law. If anyone commits a crime, he would have to face the consequences of a judicial trial, and would not have any special privileges. Minister also provided many examples and details. Fellow members who know the law have also shared many precedents. Hence, I will not belabour that point. "
494,,"Mr Speaker, there is one more point I would like to cover. Apart from penalties, it is more important for us to be self-disciplined. While the law sets the baseline for our conduct, morals and ethical standards should be the ultimate guide of our behaviour. We often hear the elderly say: “we must pay attention to “propriety” and law.” This means ""proprieties"" – which include courtesy and etiquette – should take precedence over the law. We have to abide by the proprieties and law, and not violate the law. Confucianism advocates the following goals in life: ""observe things, gain knowledge, be sincere, be righteous, improve oneself, keep the family together, govern the state, and bring peace to the world "". If every one of us can be sincere, upright, improve oneself and keep the family together, there will be no reason for police officers to come to our doorstep, much less will there be any negative impact on society. "
495,,"Besides managing oneself well, we also need to care for others, especially the disadvantaged groups in society. If you find that there are people around you who need help, I urge you to inform welfare organisations in the community, raise the difficulties they face, and work together with everyone to solve them. Do not cross onto the wrong side of the law or embark on the road of crime. "
496,,"This, is where we will have to be accountable to ourselves. "
497,,"Since Singapore's independence, the Government has upheld the three pillars of accountability, fairness and equality, and the separation of powers, and in so doing, built the progressive, prosperous, just, and equal nation, that we have today, just as promised in our Pledge. We are all Singapore Citizens; I hope everyone will continue to work together to achieve happiness, prosperity, and progress for our nation. Thank you."
498,Mr Speaker,Mr Speaker: Minister of State Gan Siow Huang.
499,The Minister of State for Education and Manpower (Ms Gan Siow Huang),"The Minister of State for Education and Manpower (Ms Gan Siow Huang): Mr Speaker, I am glad that the hon Mr Gerald Giam shares our view that foreign domestic workers have specific vulnerabilities and there is more that we can do to support them. Foreign domestic workers help many of our households and families with care-giving and domestic chores, and we value the contribution of foreign domestic workers."
500,,"MOM has put in place regulatory framework and partnerships with NGOs to protect and take care of our foreign domestic workers in many ways. Under the Employment of Foreign Manpower Act and Regulations, employers are required to make timely and full payment of salary to their domestic workers and help upkeep their maintenance during their employment in Singapore. This includes provision of adequate food and medical treatment, safe working conditions and adequate daily rest."
501,,"Over the years, we have also made several changes to our laws to better safeguard the well-being of foreign domestic workers. In 2013, the law was amended to require employers to provide foreign domestic workers with weekly rest day or compensation in lieu. In 2018, employers were required to purchase personal accident insurance with payout of $60,000, up from $40,000 previously, for their foreign domestic workers. More recently in 2019, the law was amended to explicitly disallow employers from safekeeping the salary of their foreign domestic workers to reduce downstream salary disputes. Complaints against employers who fail to meet their obligations are investigated and errant employers are given appropriate penalties. For more serious infringements, employers can be prosecuted."
502,,First-time foreign domestic workers and employers are educated about their rights and responsibilities. Such education is done through the mandatory Foreign Domestic Worker Settling-In Programme and the Employers' Orientation Programme.
503,,"At the Settling-In Programme, we inform foreign domestic workers of their rights and encourage them to perform their work duties responsibly. We also educate foreign domestic workers on the multiple channels of help available that they can approach and this includes MOM, of course, employer agencies, the NGOs such as Centre for Domestic Employees, the Police and the embassies. At the Employers' Orientation Programme, we inform employers of their legal responsibilities towards their foreign domestic workers."
504,,"MOM has also started a programme with the Centre for Domestic Employees to interview first-time foreign domestic workers in their first few months of employment, conducted in their native language. This interview helps detect any settling-in or adjustment issues, so that the foreign domestic workers and employers can work through and resolve them early."
505,,"NGOs such as Centre for Domestic Employees and Foreign Domestic Worker Association for Social Support and Training, or FAST, run regular clinics with their legal partners for foreign domestic workers who need legal advice. Foreign domestic workers will be assisted to secure pro bono representation with volunteer lawyers from the Law Society Pro Bono Services and other partnering law firms. Ms Parti Liyani was similarly assisted by Legal Aid facilitated by an NGO."
506,,"Foreign domestic workers who are victims of errant employers will be removed from their employers' place of residence for their protection. MOM allows them to remain in Singapore to assist in investigations. MOM will ensure that they have proper food and housing, and the foreign domestic workers will be allowed to seek employment during this time."
507,,"In fact, when I visited the Centre for Domestic Employees or CDE, I met several foreign domestic workers who were in the shelter. They were actually very grateful that their basic needs were being taken care of. In their free time, actually, they also interacted and learned about each other's culture and even picked up simple craft. For foreign domestic workers who call CDE, we also have a vehicle to go and pick them up if they do not know their way."
508,,"The vast majority of employers and foreign domestic workers respect their contractual and legal obligations to each other, and many have strong relationships. We regularly reach out to employers and foreign domestic workers through electronic direct mailers and newsletters to feature best practices and tips on how to develop good working relationships."
509,,"The Association of Employment Agencies Singapore gives out awards to honour and recognise foreign domestic workers and employers who have maintained healthy long-lasting relationships. One of the award winners in 2019 was Ms Somejo. She is 59 years old and has worked with her employer for 28 years and looked after her employer's four daughters like her own. When Typhoon Haiyan left Ms Somejo's family homeless in 2013, her employer and one of her daughters raised funds to help Ms Somejo's family rebuild their home."
510,,"A healthy and strong working relationship requires the cooperation and effort of both employers and the foreign domestic workers. MOM will continue to work with the stakeholders to protect the well-being of foreign domestic workers as well as the employers, and promote harmonious relationships between them. We have made good progress through the years. There is more that we can do and we look forward to working with the stakeholders to improve the system for foreign domestic workers and the employers."
511,Mr Speaker,Mr Speaker: Mr Murali Pillai.
512,Mr Murali Pillai (Bukit Batok),"Mr Murali Pillai (Bukit Batok): Mr Speaker, Sir. I would like to start off my speech by conveying my sincere thanks to the hon Member Ms Sylvia Lim and Ms He Ting Ru for moving this Motion and triggering this enthusiastic discussion, despite the lateness of the day."
513,,"It is clear from the speeches that we have heard that there is broad consensus on much that is touched by the Motion. There is broad consensus on the point that fairness, access and independence have been and continue to be cornerstones of Singapore's justice system. There is consensus that justice must apply equally to all, irrespective of means or social status. And I would add that, it should also not matter what one's race, language or religion is."
514,,"These are matters for which there is overwhelming consensus not just in this House, but outside this House as well. It reflects the founding values of Singapore from Independence – a point I will develop later in my speech."
515,,"As Ms He pointed out, there are constitutional articles where these values are enshrined and against which all other laws and Executive action are void and effective. Articles such as Article 9 which deals with no deprivation of life or liberty, safe in accordance with law. Article 12, which requires all persons to be equal before the law and be entitled to equal protection of the law. Article 93, which vests the judicial power in the Supreme Court in the State Courts."
516,,"There is also a broad consensus over the fact that whenever there are shortcomings affecting the judicial system, steps must be identified to remedy them. This has been the case before, now and will continue to be the case."
517,,"In this regard, we need to understand the separation of powers within our Constitution which is modelled on the Westminster system. The Executive arm of the Government is accountable to this House for the actions of its enforcement officers. The Judiciary is an independent arm of the Government. So is the Attorney-General. He derives his power from an independent constitutional grant. Our apex Court has described his office as a high constitutional office equal to that of the Judiciary."
518,,They are separate processes spelled out in the Constitution and other legislation to hold judicial and prosecuting officers to account in a way that does not compromise the independence of our Judiciary and the Attorney-General's office. The hon Leader of Opposition referred to the fact that the DPPs in the Parti Liyani case were referred for disciplinary action in relation to whether or not they had breached the Kadar obligations.
519,,"So, this is a separate process that will have to take place. And if these DPPs are held to be in breach, then they would have to suffer the consequences, while maintaining the independence of the Judiciary and the Attorney-General's office."
520,,"I agree with Ms Lim in her view that the justice system must work fairly for disadvantaged and vulnerable persons navigating the system as defenders. For them, we need to ensure equal access to justice."
521,,"Access to justice does not necessarily equate to assess to lawyers. These are not my words. These are the words of Lady Hale, the retired President of the UK Supreme Court. In Singapore, Courts have taken great pains to explain their decision so that people could understand the law, particularly in the criminal law sphere. "
522,,"And I would even say, for sentencing the Courts have come up with frameworks to allow people to understand for a certain kind of offence, what would be the probable sentence. This would assist lay people to appreciate what decisions they would face if they were to be convicted in a court of law."
523,,"But one accepts that a Judge would generally be in a better position to decide on the merits of the case as a neutral umpire hearing both sides, as opposed to entering into the fray to help frame questions and arguments for the unrepresented person."
524,,The main points I wish to make in my speech are as follows.
525,,This is a country that is governed by the rule of law. That has been my experience over the past 28 years as a former regular Police officer and now a lawyer. The hallmark of the rule of law is independence and transparency of the Judiciary. And I am very glad to note that hon Members from the Workers' Party agree fully with this point. 
526,,"The second point I wish to make is that in the context of administration of justice that involves more stakeholders; the Police, the DPPs, the State Courts, Judiciary and so on, we have made improvements over time, over years. We certainly have not arrived yet. And today we have heard very good suggestions from both sides of the House which should be considered, debated and distilled."
527,,"The point that the hon Minister for Home Affairs made just a few moments ago, is something that we should bear in mind. While there can be good ideas, at the end of the day, it is a balancing process. We need to balance the interests of the victims, the accused persons, the public and, of course, the state resources of which the Minister for Finance is in charge of."
528,,"With that as a background, I wish to recount my experience in the Police force. Sir, like the hon Member Ms Sylvia Lim, I joined the Police force as a regular for a few years, before I joined private practice as a lawyer – again, just like her. In fact, Ms Lim was my colleague; a very capable colleague, I would add."
529,,"The work of the Singapore Police Force officers, then and now, has always been focused on protecting the vulnerable amongst us. Although it has been decades since I left the force, I can still vividly remember some cases I personally dealt with. I will highlight two, where I was involved, was covering the duties of CIO 1 Tanglin Police Division."
530,,"The first case involved a rape case, of an 11-year-old girl who was going for tuition in the day. She was raped at a staircase landing of a flat. It was a terribly trying moment for her. But amazingly, she was able to provide a good description of the assailant. We devoted full attention to the case, leaving no stones unturned. That helped us nab him within a few days. He was charged in Court and convicted and sentenced to a long imprisonment term."
531,,I still remember the note from the girl's father who expressed his appreciation over the work that we did. He said that the apprehension and conviction of the assailant brought closure which allowed him and his daughter to move on. His daughter would be about 36 or 37 years old now.
532,,"The hon Member Ms Sylvia Lim shared her experience of a rape victim who unfortunately was not told the reasons why the AGC did not proceed with her complaint and charge the accused in Court. But she would certainly agree with me that between the time when we were in the Police force and now, great strides have been taken to improve the process. "
533,,"Previously, rape cases were dealt with at the Division level. Now, we have the Serious Sexual Crime Branch under the CID, where Police officers are given special training to give special attention to victims of sexual offences and, in the process, make sure that they would get the justice that they deserve. We have not arrived yet, but we have made great progress."
